totalEscrowed,isContract,totalStaked,unstaking,unstakingAmount,wallet
438884291574252756000,,2237397400795387777230,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x749e1d15d3d461469bec674575c2b07dd0dbeded
92531664432193968600,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x3a3889f816921913b2503454d9bc924e1c744a49
121226158664402143769,,0,,,0x79761b79d7181d819c2bfb7b5d786739361cfacd
502178240930294595000,,5000000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x20b82e2cc7aff6dacd50919e7cee8c4bb87410d2
1439443175741498000000,,7337880000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xae15a8f0db29c6c7a840abc445abe3cd3b0af472
26873700632841361500,,197000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xb6dd0c440da2995d47f6cef2f85a16f433bcaeb9
1731840495053694929397,,19162707803810704804166,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x89f40ca416df2cb2fda79c3f5d9338e87cab0600
423740620906854481410,,9106421521538127732602,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2e0d63ffcb08ea20ff3acdbb72dfec97343885d2
11709469889933956157,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xc5f1c489cfca582c0d47fa2c036f84833e8ab700
132925202252001252949,,137000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x64bab5ed694635f0b5d594d78a0dd0a8499f174e
179405694469603598880,,176165158899563958574,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x4335335c596ac1fb3872a4f3b02ddc5418f8e33d
